job_title,job_url,company_name,company_url,job_tags,job_snippet,job_post_date,new_job_post_flag
Data Scientist / Data Analysis Manager,https://sg.indeed.com/rc/clk?jk=8b5e89ff0ef060c4&fccid=b4c06e8a712feddf&vjs=3,National University of Singapore,https://sg.indeed.com/cmp/National-University-of-Singapore,['Full-time'],"Proficiency in statistical computer languages (R, Python, MATLAB) to manipulate data and draw insights from large data sets.
NET, Java) is highly favourable.",30+ days ago,
,,,,[],,,
,,,,[],,,
,,,,[],,,
,,,,[],,,
,,,,[],,,
"Associate / Senior Associate, Investment Data Science",https://sg.indeed.com/rc/clk?jk=0c20b553ca6a3761&fccid=d900284f63844910&vjs=3,Temasek,,['Full-time'],"Experience using data to form business or investment decisions.
Applying statistical, econometric or data science techniques to model target variables in terms…",30+ days ago,
,,,,[],,,
,,,,[],,,
,,,,[],,,
,,,,[],,,
Data Scientist (NCID Prepare Office),https://sg.indeed.com/rc/clk?jk=a875404a39192572&fccid=b0babaafc9cc3312&vjs=3,Tan Tock Seng,https://sg.indeed.com/cmp/Tan-Tock-Seng,['Full-time +1'],"Data extraction, cleaning, processing and management;
The Co-op is building a core data and research analytic team that will generate and provide empirical data…",30+ days ago,
,,,,[],,,
,,,,[],,,
,,,,[],,,
,,,,[],,,
Senior Data Scientist (Dynamic Pricing),https://sg.indeed.com/rc/clk?jk=cc0ba4332cd33fb9&fccid=b79fa3ee18655a5a&vjs=3,Grab,https://sg.indeed.com/cmp/Grab,['Full-time'],"With the power of big data and advanced Machine Learning models, We build data driven AI products to ensure an attainable service availability for customers at…",25 days ago,
,,,,[],,,
,,,,[],,,
,,,,[],,,
,,,,[],,,
,,,,[],,,
